timestamp,open,high,low,close,volume
2021-03-08,65.3400,65.9500,63.7800,64.3100,8828264
2021-03-05,63.1600,65.0900,60.9800,64.1200,14017620
2021-03-04,61.5000,63.2600,59.4400,61.8700,13491627
2021-03-03,59.7000,63.5800,57.9800,61.7600,23938808
2021-03-02,57.5100,58.1600,56.7200,57.0600,3845278
2021-03-01,56.9600,58.3550,56.6400,57.3400,4097484
2021-02-26,55.7400,57.1900,54.8600,55.7000,4455101
2021-02-25,59.0600,59.4900,55.1100,55.9100,6986241
2021-02-24,57.6400,59.6600,56.6904,59.1300,6370852
2021-02-23,55.7900,58.2500,54.5400,57.7200,5851741
2021-02-22,58.1400,59.4700,56.7000,56.8200,7889310
2021-02-19,57.6700,59.8200,57.5100,58.9300,9237991
2021-02-18,57.0000,58.3200,56.4500,57.0700,7219018
2021-02-17,57.9100,58.2600,55.7600,58.1100,4472438
2021-02-16,58.1500,58.9200,57.3800,58.4550,7250281
2021-02-12,56.2000,57.6800,55.3000,57.6500,6414901
2021-02-11,55.7600,57.6000,55.4000,57.0700,10478649
2021-02-10,58.5000,59.4000,55.2600,56.2100,20371695
2021-02-09,52.9400,54.7900,52.7000,53.6400,9007382
2021-02-08,53.3100,54.7500,52.6001,53.4100,5472949
2021-02-05,52.2500,53.5400,52.1400,53.1200,6222498
2021-02-04,49.8400,52.3100,49.5500,51.7700,6853179
2021-02-03,47.8900,49.7400,47.2100,49.4100,5047177
2021-02-02,46.1000,48.3200,46.1000,47.5000,7030618
2021-02-01,45.5600,45.8300,44.7500,45.5100,6732579
2021-01-29,45.7800,46.1500,43.6600,44.4600,5631201
2021-01-28,44.7500,46.8600,44.3300,46.2200,6464667
2021-01-27,45.6406,45.8800,42.9400,43.6200,8946350
2021-01-26,47.4700,48.7850,46.7600,46.9000,5446519
2021-01-25,47.7600,47.7600,44.1100,47.1400,7314397
2021-01-22,47.8100,48.0500,47.0100,47.8100,3493388
2021-01-21,49.0900,49.2600,47.9000,48.1000,4422360
2021-01-20,49.2750,50.2500,48.5300,48.9400,4809986
2021-01-19,48.6200,49.9300,47.8100,48.9600,6293048
2021-01-15,48.6300,49.0300,47.5453,47.8800,4187552
2021-01-14,50.2800,50.9500,48.2100,48.7450,4646633
2021-01-13,50.1400,51.2400,49.1400,49.7800,6696435
2021-01-12,48.4600,51.1100,47.4900,50.6800,14821691
2021-01-11,46.6200,48.8600,46.0600,48.3700,5472206
2021-01-08,48.7400,48.9500,46.8400,47.5000,5068318
2021-01-07,48.0900,49.2700,48.0900,48.8400,6651113
2021-01-06,48.9800,49.1400,46.9200,47.4600,7678750
2021-01-05,47.0200,49.2400,46.6000,48.8500,5338110
2021-01-04,49.3800,50.0200,46.5100,47.2800,6214704
2020-12-31,50.2600,50.3000,49.0500,49.1300,3224147
2020-12-30,49.3800,50.7900,48.8600,50.3400,5569884
2020-12-29,49.5100,50.2300,48.7400,49.2500,6320164
2020-12-28,49.2500,49.8900,48.3700,49.7700,3313538
2020-12-24,50.0200,50.0700,48.6900,48.8600,1939720
2020-12-23,49.7500,50.5500,49.5200,50.0700,5988417
2020-12-22,50.1100,50.1800,48.9300,49.5100,4439914
2020-12-21,48.0100,50.3600,47.6450,49.9100,7660237
2020-12-18,49.4300,50.1500,48.5500,49.9800,7041369
2020-12-17,49.8500,50.5500,49.0950,49.4700,5987336
2020-12-16,49.3000,50.3700,49.3000,49.9100,8864813
2020-12-15,46.9900,49.3270,46.9700,49.3000,6935738
2020-12-14,47.6218,48.4000,46.6300,46.7700,6105853
2020-12-11,48.0300,49.1700,46.4300,46.8700,7040718
2020-12-10,46.6500,48.6500,45.8100,48.1100,7236582
2020-12-09,47.2300,48.7500,46.2300,47.5300,11669120
2020-12-08,46.0400,47.9000,46.0400,46.5200,7448828
2020-12-07,47.3500,47.7490,46.0300,46.5550,8608152
2020-12-04,43.4000,46.1400,43.4000,46.1000,10547867
2020-12-03,43.4100,44.0600,42.4000,43.1000,8617031
2020-12-02,39.0248,43.8600,38.2000,43.4000,17147657
2020-12-01,39.0800,40.8700,38.7300,39.6100,6947920
2020-11-30,38.7900,39.3500,37.6300,38.1700,5303093
2020-11-27,39.3700,39.9000,38.7700,39.0400,3664810
2020-11-25,39.0000,39.6000,38.2000,39.5200,5409708
2020-11-24,40.4000,40.4000,39.1800,39.4900,9020165
2020-11-23,38.5400,39.9500,38.4400,39.3500,9408263
2020-11-20,40.1700,40.3000,37.7300,38.1000,12382210
2020-11-19,39.6000,40.7500,39.1200,40.1100,7658449
2020-11-18,39.8100,41.4081,39.5200,39.7700,8909538
2020-11-17,38.8600,40.4400,38.7200,39.4200,8342937
2020-11-16,39.0400,40.0100,38.7101,39.9200,12649086
2020-11-13,36.7500,37.7450,35.9700,37.5400,8269992
2020-11-12,35.4603,37.8100,35.4300,36.4600,13335080
2020-11-11,37.2884,38.9000,35.8600,36.4100,30160753
2020-11-10,36.7800,38.0578,35.8900,36.0500,22041740
2020-11-09,35.0040,37.9800,34.9600,37.6900,36882220
2020-11-06,28.6500,30.3300,27.9300,29.8400,16028362
2020-11-05,29.0910,29.7500,28.7200,29.0300,12774722
2020-11-04,31.7000,32.1200,28.3100,29.1900,60939037
2020-11-03,24.9100,26.6000,24.8600,26.2300,16311423
2020-11-02,23.1900,24.6700,22.9000,24.5000,12181715
2020-10-30,22.8200,23.4300,22.4000,22.8300,8017089
2020-10-29,22.2300,23.2700,21.9100,22.9300,7482593
2020-10-28,22.4400,22.6200,21.3400,22.2300,17627609
2020-10-27,24.7600,24.7888,22.8900,22.9400,15308001
2020-10-26,25.6800,26.0200,24.6800,24.8400,7230211
2020-10-23,25.4200,26.2200,25.0700,26.0200,8124624
2020-10-22,24.8000,25.7000,24.7000,25.5800,7329621
2020-10-21,24.9700,25.0000,24.1700,24.6600,10514084
2020-10-20,24.9600,25.6300,24.5450,25.1300,11399003
2020-10-19,25.7000,25.7900,24.6000,24.6300,9830241
2020-10-16,25.8300,25.8300,25.2100,25.5300,6772145
2020-10-15,26.3500,26.3600,25.5300,25.6000,9010537
2020-10-14,26.5000,26.9600,26.1587,26.7500,7880308
2020-10-13,27.1400,27.2000,26.3250,26.3300,8732139
